"Reference","Value","Datasheet","Footprint","Qty"
"BT1","Battery_Cell","https://www.memoryprotectiondevices.com/datasheets/BH9VPC/BH9VPC-datasheet.pdf","receiver_footprints:BAT_BH9VPC","1"
"C1,C2","0.1u","https://www.vishay.com/docs/45171/kseries.pdf","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","2"
"C3","220u","https://search.kemet.com/download/specsheet/ESY227M035AH1AA","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1"
"C4","10u","https://search.kemet.com/download/datasheet/ESL106M100AE3AA","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm","1"
"D2,D3","LED","https://www.we-online.com/components/products/datasheet/151051RS11000.pdf","LED_THT:LED_D5.0mm","2"
"M1","Servo","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/902/SER0006_Web.pdf","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Horizontal","1"
"M2","Motor","https://mm.digikey.com/Volume0/opasdata/d220001/medias/docus/1040/711_Web.pdf?_gl=1*1bypppz*_up*MQ..*_gs*MQ..&gclid=CjwKCAjw6P3GBhBVEiwAJPjmLgPIdivNvvso7GDcvqPqn2Ubw9e81azT4BOjK7N8p7QJPT3EeYl93RoCuHEQAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADrbLlg9a_M-PIXbOAU_b01BOFJHH","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","1"
"Q1,Q2","2N7000","https://diotec.com/request/datasheet/2n7000.pdf","Package_TO_SOT_THT:TO-92_Inline_Wide","2"
"R4,R5","470","https://www.seielect.com/catalog/SEI-CF_CFM.pdf","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2"
"R6,R8","10k","https://www.seielect.com/catalog/SEI-CF_CFM.pdf","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal","2"
"SW1","SW_Nidec_CAS-120A1","https://configured-product-images.s3.amazonaws.com/Datasheets/EG.pdf","Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical","1"
"U1","PIC16F18324-xSL","http://ww1.microchip.com/downloads/en/devicedoc/40001800c.pdf","Package_DIP:DIP-14_W7.62mm","1"
"U2","LM2937xT","https://www.ti.com/lit/ds/symlink/lm2937.pdf","Package_TO_SOT_THT:TO-220-3_Horizontal_TabDown","1"
"U3","NRF24L01_Breakout","http://www.nordicsemi.com/eng/content/download/2730/34105/file/nRF24L01_Product_Specification_v2_0.pdf","RF_Module:nRF24L01_Breakout","1"
"U4","L9110H","https://cdn-shop.adafruit.com/product-files/4489/4489_datasheet-l9110.pdf","Package_DIP:DIP-8_W7.62mm_Socket","1"
