"Qty","Supplier PN"
"1","BH9V-PC-ND"
"1","490-10516-2-ND"
"3","399-C0402C104K4RACTUTR-ND"
"1","493-2179-2-ND"
"1","718-2487-2-ND"
"1","1276-1450-2-ND"
"2","1516-1217-2-ND"
"2",""
"1","T2N7002AKLMTR-ND"
"2","311-470JRTR-ND"
"2","311-10KJRTR-ND"
"1","311-1.0KJRTR-ND"
"2","2223-PT01-D115D-B502-ND"
"2","3386P-103LF-ND"
"1","EG1903-ND"
"1","CKN12319-2-ND"
"1","https://www.aliexpress.us/item/3256809251216534.html?src=google&pdp_npi=4%40dis%21USD%2139.51%2113.30%21%21%21%21%21%40%2112000049096107778%21ppc%21%21%21&snps=y&src=google&albch=shopping&acnt=752-015-9270&isdl=y&slnk=&plac=&mtctp=&albbt=Google_7_shopping&aff_platform=google&aff_short_key=_oDc8nzq&gclsrc=aw.ds&albagn=888888&ds_e_adid=&ds_e_matchtype=&ds_e_device=c&ds_e_network=x&ds_e_product_group_id=&ds_e_product_id=en3256809251216534&ds_e_product_merchant_id=5551326180&ds_e_product_country=US&ds_e_product_language=en&ds_e_product_channel=online&ds_e_product_store_id=&ds_url_v=2&albcp=22665133432&albag=&isSmbAutoCall=false&needSmbHouyi=false&gad_source=1&gad_campaignid=22655435907&gbraid=0AAAAA_eFwRAxECL3osierG--gtRFWs9HU&gclid=CjwKCAjw6P3GBhBVEiwAJPjmLhNZUnYiuj_4ZBXyOOlgW3nIMieQxQGaxVKJq8Jiy7AL6JZ8wVUovBoCkpIQAvD_BwE&gatewayAdapt=glo2usa"
"1","5272-AMS1117-3.3TR-ND"
"1","PIC32MX170F256B-50I/SS-ND"
